base,source,slab_decision,slab_atelier_definitions,slab_vanilla_ids,stairs_decision,stairs_atelier_definitions,stairs_vanilla_ids,vertical_slab_decision,vertical_slab_atelier_definitions,vertical_slab_vanilla_ids,wall_decision,wall_atelier_definitions,wall_vanilla_ids,notes
andesite,minecraft:andesite,use_vanilla,0,minecraft:andesite_slab,use_vanilla,0,minecraft:andesite_stairs,generate,1,,skip,0,minecraft:andesite_wall,
andesite_bricks,dorios_atelier:andesite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
andesite_tiles,dorios_atelier:andesite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
basalt_bricks,dorios_atelier:basalt_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
basalt_tiles,dorios_atelier:basalt_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
blackstone_tiles,dorios_atelier:blackstone_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
calcite,minecraft:calcite,generate,1,,generate,1,,generate,1,,skip,0,,
calcite_bricks,dorios_atelier:calcite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
calcite_tiles,dorios_atelier:calcite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
chiseled_deepslate,minecraft:chiseled_deepslate,generate,1,,generate,1,,generate,1,,skip,0,,
chiseled_nether_bricks,minecraft:chiseled_nether_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
chiseled_polished_blackstone,minecraft:chiseled_polished_blackstone,generate,1,,generate,1,,generate,1,,skip,0,,
chiseled_stone_bricks,minecraft:chiseled_stone_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
cobbled_deepslate,minecraft:cobbled_deepslate,use_vanilla,0,minecraft:cobbled_deepslate_slab,use_vanilla,0,minecraft:cobbled_deepslate_stairs,generate,1,,skip,0,minecraft:cobbled_deepslate_wall,
cobblestone,minecraft:cobblestone,use_vanilla,0,minecraft:cobblestone_slab,use_vanilla,0,minecraft:stone_stairs,generate,1,,skip,0,minecraft:cobblestone_wall,
cracked_andesite_bricks,dorios_atelier:cracked_andesite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_andesite_tiles,dorios_atelier:cracked_andesite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_basalt_bricks,dorios_atelier:cracked_basalt_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_basalt_tiles,dorios_atelier:cracked_basalt_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_blackstone_tiles,dorios_atelier:cracked_blackstone_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_calcite_bricks,dorios_atelier:cracked_calcite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_calcite_tiles,dorios_atelier:cracked_calcite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_deepslate_bricks,minecraft:cracked_deepslate_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
cracked_deepslate_tiles,minecraft:cracked_deepslate_tiles,generate,1,,generate,1,,generate,1,,skip,0,,
cracked_diorite_bricks,dorios_atelier:cracked_diorite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_diorite_tiles,dorios_atelier:cracked_diorite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_dripstone_bricks,dorios_atelier:cracked_dripstone_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_dripstone_tiles,dorios_atelier:cracked_dripstone_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_granite_bricks,dorios_atelier:cracked_granite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_granite_tiles,dorios_atelier:cracked_granite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_nether_bricks,minecraft:cracked_nether_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
cracked_polished_blackstone_bricks,minecraft:cracked_polished_blackstone_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
cracked_stone_bricks,minecraft:cracked_stone_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
cracked_tuff_bricks,dorios_atelier:cracked_tuff_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
cracked_tuff_tiles,dorios_atelier:cracked_tuff_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
dark_prismarine,minecraft:dark_prismarine,use_vanilla,0,minecraft:dark_prismarine_slab,use_vanilla,0,minecraft:dark_prismarine_stairs,generate,1,,skip,0,,
deepslate_bricks,minecraft:deepslate_bricks,use_vanilla,0,minecraft:deepslate_brick_slab,use_vanilla,0,minecraft:deepslate_brick_stairs,generate,1,,skip,0,minecraft:deepslate_brick_wall,
deepslate_tiles,minecraft:deepslate_tiles,use_vanilla,0,minecraft:deepslate_tile_slab,use_vanilla,0,minecraft:deepslate_tile_stairs,generate,1,,skip,0,minecraft:deepslate_tile_wall,
diorite,minecraft:diorite,use_vanilla,0,minecraft:diorite_slab,use_vanilla,0,minecraft:diorite_stairs,generate,1,,skip,0,minecraft:diorite_wall,
diorite_bricks,dorios_atelier:diorite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
diorite_tiles,dorios_atelier:diorite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
dripstone_bricks,dorios_atelier:dripstone_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
dripstone_tiles,dorios_atelier:dripstone_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
gilded_blackstone,minecraft:gilded_blackstone,generate,1,,generate,1,,generate,1,,skip,0,,
glowing_obsidian,dorios_atelier:glowing_obsidian,generate,1,,generate,1,,generate,1,,generate,1,,
granite,minecraft:granite,use_vanilla,0,minecraft:granite_slab,use_vanilla,0,minecraft:granite_stairs,generate,1,,skip,0,minecraft:granite_wall,
granite_bricks,dorios_atelier:granite_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
granite_tiles,dorios_atelier:granite_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
mossy_cobblestone,minecraft:mossy_cobblestone,use_vanilla,0,minecraft:mossy_cobblestone_slab,use_vanilla,0,minecraft:mossy_cobblestone_stairs,generate,1,,skip,0,minecraft:mossy_cobblestone_wall,
mossy_stone_bricks,minecraft:mossy_stone_bricks,use_vanilla,0,minecraft:mossy_stone_brick_slab,use_vanilla,0,minecraft:mossy_stone_brick_stairs,generate,1,,skip,0,minecraft:mossy_stone_brick_wall,
mud_bricks,minecraft:mud_bricks,use_vanilla,0,minecraft:mud_brick_slab,use_vanilla,0,minecraft:mud_brick_stairs,generate,1,,skip,0,minecraft:mud_brick_wall,
netherrack,minecraft:netherrack,generate,1,,generate,1,,generate,1,,skip,0,,
obsidian_bricks,dorios_atelier:obsidian_bricks,generate,1,,generate,1,,generate,1,,generate,1,,
obsidian_tiles,dorios_atelier:obsidian_tiles,generate,1,,generate,1,,generate,1,,generate,1,,
packed_mud,minecraft:packed_mud,generate,1,,generate,1,,generate,1,,skip,0,,
polished_andesite,minecraft:polished_andesite,use_vanilla,0,minecraft:polished_andesite_slab,use_vanilla,0,minecraft:polished_andesite_stairs,generate,1,,skip,0,,
polished_blackstone,minecraft:polished_blackstone,use_vanilla,0,minecraft:polished_blackstone_slab,use_vanilla,0,minecraft:polished_blackstone_stairs,generate,1,,skip,0,minecraft:polished_blackstone_wall,
polished_blackstone_bricks,minecraft:polished_blackstone_bricks,use_vanilla,0,minecraft:polished_blackstone_brick_slab,use_vanilla,0,minecraft:polished_blackstone_brick_stairs,generate,1,,skip,0,minecraft:polished_blackstone_brick_wall,
polished_calcite,dorios_atelier:polished_calcite,generate,1,,generate,1,,generate,1,,generate,1,,
polished_deepslate,minecraft:polished_deepslate,use_vanilla,0,minecraft:polished_deepslate_slab,use_vanilla,0,minecraft:polished_deepslate_stairs,generate,1,,skip,0,minecraft:polished_deepslate_wall,
polished_diorite,minecraft:polished_diorite,use_vanilla,0,minecraft:polished_diorite_slab,use_vanilla,0,minecraft:polished_diorite_stairs,generate,1,,skip,0,,
polished_dripstone,dorios_atelier:polished_dripstone,generate,1,,generate,1,,generate,1,,generate,1,,
polished_granite,minecraft:polished_granite,use_vanilla,0,minecraft:polished_granite_slab,use_vanilla,0,minecraft:polished_granite_stairs,generate,1,,skip,0,,
polished_obsidian,dorios_atelier:polished_obsidian,generate,1,,generate,1,,generate,1,,generate,1,,
polished_tuff,minecraft:polished_tuff,use_vanilla,0,minecraft:polished_tuff_slab,use_vanilla,0,minecraft:polished_tuff_stairs,generate,1,,skip,0,minecraft:polished_tuff_wall,
prismarine,minecraft:prismarine,use_vanilla,0,minecraft:prismarine_slab,use_vanilla,0,minecraft:prismarine_stairs,generate,1,,skip,0,minecraft:prismarine_wall,
prismarine_bricks,minecraft:prismarine_bricks,use_vanilla,0,minecraft:prismarine_brick_slab,use_vanilla,0,minecraft:prismarine_bricks_stairs,generate,1,,skip,0,,
purpur_block,minecraft:purpur_block,use_vanilla,0,minecraft:purpur_slab,use_vanilla,0,minecraft:purpur_stairs,generate,1,,skip,0,,
quartz_bricks,minecraft:quartz_bricks,generate,1,,generate,1,,generate,1,,skip,0,,
smooth_andesite,dorios_atelier:smooth_andesite,generate,1,,generate,1,,generate,1,,generate,1,,
smooth_basalt,minecraft:smooth_basalt,generate,1,,generate,1,,generate,1,,skip,0,,
